franchise,pick_order,player_as_written,price
"LEAN, MEAN FIGHTING MACHINE",7,DK METCALF,5
"LEAN, MEAN FIGHTING MACHINE",8,ZAY FLOWERS,3
"LEAN, MEAN FIGHTING MACHINE",9,BO NIX,4
"LEAN, MEAN FIGHTING MACHINE",10,GARRETT WILSON,7
"LEAN, MEAN FIGHTING MACHINE",11,NICK CHUBB,1
"LEAN, MEAN FIGHTING MACHINE",12,ISIAH PACHECO,6
"LEAN, MEAN FIGHTING MACHINE",13,AARON JONES,4
EM 50s,1,CHRISTIAN MCCAFFREY,34
EM 50s,2,JONATHAN TAYLOR,32
EM 50s,3,ARIZONA D,1
EM 50s,4,KENNETH WALKER III,15
EM 50s,5,CALVIN RIDLEY,10
EM 50s,6,KAIMI FAIRBAIRN,1
EM 50s,7,JARED GOFF,2
EM 50s,8,JAYLEN WADDLE,4
EM 50s,9,DEEBO SAMUEL,1
EM 50s,10,ZACH CHARBONNET,2
EM 50s,11,JAYLEN WARREN,1
EM 50s,12,DAK PRESCOTT,1
EM 50s,13,BHAYSUL TUTEN,6
SAWYER'S PSYCHOS,1,ASHTON JEANTY,33
SAWYER'S PSYCHOS,2,BALTIMORE D,3
SAWYER'S PSYCHOS,3,DRAKE LONDON,22
SAWYER'S PSYCHOS,4,TYLER LOOP,1
SAWYER'S PSYCHOS,5,LADD MCCONKEY,18
SAWYER'S PSYCHOS,6,OLLIE GORDON II,1
SAWYER'S PSYCHOS,7,ALVIN KAMARA,17
SAWYER'S PSYCHOS,8,JUSTIN HERBERT,1
SAWYER'S PSYCHOS,9,BROCK BOWERS,10
SAWYER'S PSYCHOS,10,GENO SMITH,1
SAWYER'S PSYCHOS,11,ISAAC TESLAA,1
SAWYER'S PSYCHOS,12,BRIAN ROBINSON JR,1
SAWYER'S PSYCHOS,13,KEENAN ALLEN,1
OX'S MUD WRESTLERS,1,JUSTIN JEFFERSON,30
OX'S MUD WRESTLERS,2,KYREN WILLIAMS,31
OX'S MUD WRESTLERS,3,MIKE EVANS,14
OX'S MUD WRESTLERS,4,CHUBA HUBBARD,12
OX'S MUD WRESTLERS,5,DJ MOORE,9
OX'S MUD WRESTLERS,6,RJ HARVEY,7
OX'S MUD WRESTLERS,7,DETROIT D,1
OX'S MUD WRESTLERS,8,JAKE ELLIOTT,1
OX'S MUD WRESTLERS,9,CJ STROUD,1
OX'S MUD WRESTLERS,10,SAM LAPORTA,1
OX'S MUD WRESTLERS,11,JORDAN LOVE,1
OX'S MUD WRESTLERS,12,RACHAAD WHITE,1
OX'S MUD WRESTLERS,13,JOE MIXON,1
RAZZLE DAZZLE,1,AMON-RA ST BROWN,27
RAZZLE DAZZLE,2,PUKA NACUA,21
RAZZLE DAZZLE,3,JAMES COOK,12
RAZZLE DAZZLE,4,GREEN BAY D,1
RAZZLE DAZZLE,5,MATT GAY,1
RAZZLE DAZZLE,6,JAMES CONNER,9
RAZZLE DAZZLE,7,BAKER MAYFIELD,11
RAZZLE DAZZLE,8,TREY MCBRIDE,9
RAZZLE DAZZLE,9,KALEB JOHNSON,2
RAZZLE DAZZLE,10,MATTHEW GOLDEN,1
RAZZLE DAZZLE,11,CHRIS OLAVE,2
RAZZLE DAZZLE,12,TRAVIS ETIENNE,1
RAZZLE DAZZLE,13,RICKY PEARSALL,13
AGGRESSIVE GAMBLERS,1,MALIK NABERS,27
AGGRESSIVE GAMBLERS,2,BREECE HALL,4
AGGRESSIVE GAMBLERS,3,OMARION HAMPTON,20
AGGRESSIVE GAMBLERS,4,BUFFALO D,1
AGGRESSIVE GAMBLERS,5,JAMESON WILLIAMS,9
AGGRESSIVE GAMBLERS,6,JAXON S-N,11
AGGRESSIVE GAMBLERS,7,TREYVEON HENDERSON,12
AGGRESSIVE GAMBLERS,8,TONY POLLARD,11
AGGRESSIVE GAMBLERS,9,BROCK PURDY,3
AGGRESSIVE GAMBLERS,10,TRAVIS HUNTER,2
AGGRESSIVE GAMBLERS,11,TYRONE TRACEY JR,3
AGGRESSIVE GAMBLERS,12,CAM WARD,1
AGGRESSIVE GAMBLERS,13,CHRIS BOSWELL,3
BRAVO COMPANY,1,NICO COLLINS,26
BRAVO COMPANY,2,JAYDEN DANIELS,28
BRAVO COMPANY,3,DENVER D,2
BRAVO COMPANY,4,JOSH JACOBS,20
BRAVO COMPANY,5,CHASE MACLAUGHLIN,1
BRAVO COMPANY,6,DAVANTE ADAMS,8
BRAVO COMPANY,7,TET MCMILLIAN,9
BRAVO COMPANY,8,EMEKA EGBUKA,10
BRAVO COMPANY,9,JAVONTA WILLIAMS,1
BRAVO COMPANY,10,BREALON ALLEN,1
BRAVO COMPANY,11,JERRY JEUDY,1
BRAVO COMPANY,12,CHRISTIAN KIRK,1
BRAVO COMPANY,13,JORDAN ADDISON,2
