franchise,pick_order,player_as_written,price
SGT HULKA'S BIG TOES,1,JAMAAR CHASE,43
SGT HULKA'S BIG TOES,2,JOSH ALLEN,23
SGT HULKA'S BIG TOES,3,PHILLY D,2
SGT HULKA'S BIG TOES,4,JAKE BATES,1
SGT HULKA'S BIG TOES,5,CHASE BROWN,25
SGT HULKA'S BIG TOES,6,BILL CROSKEY-MERRITT,7
SGT HULKA'S BIG TOES,7,ROME ODUNZE,3
SGT HULKA'S BIG TOES,8,CAM SKATEBO,1
SGT HULKA'S BIG TOES,9,JAYDEN REED,1
SGT HULKA'S BIG TOES,10,TJ HOCHENSON,1
SGT HULKA'S BIG TOES,11,TUCKER KRAFT,1
SGT HULKA'S BIG TOES,12,QUINSHON JUDKINS,1
SGT HULKA'S BIG TOES,13,KYLER MURRAY,1
STUPID MUTANTS,1,BIJAN ROBINSON,41
STUPID MUTANTS,2,BRANDON AUBREY,2
STUPID MUTANTS,3,PITTSBURGH D,3
STUPID MUTANTS,4,JJ MCCARTHY,1
STUPID MUTANTS,5,TYREKE HILL,18
STUPID MUTANTS,6,PATRICK MAHOMES,14
STUPID MUTANTS,7,DANDRE SWIFT,16
STUPID MUTANTS,8,JUAN. JENNINGS,1
STUPID MUTANTS,9,MARVIN HARRSON JR,7
STUPID MUTANTS,10,JAYDON BLUE,1
STUPID MUTANTS,11,STEFON DIGGS,1
STUPID MUTANTS,12,MICHAEL PITTMAN JR,1
STUPID MUTANTS,13,TYLER ALGIER,4
ITALIAN STYLE PARTIERS,1,JAAMYR GIBBS,40
ITALIAN STYLE PARTIERS,2,CAM DICKER,1
ITALIAN STYLE PARTIERS,3,LAMAR JACKSON,31
ITALIAN STYLE PARTIERS,4,MINNESOTA D,2
ITALIAN STYLE PARTIERS,5,TEE HIGGINS,13
ITALIAN STYLE PARTIERS,6,JK DOBBINS,5
ITALIAN STYLE PARTIERS,7,DEVONTA SMITH,4
ITALIAN STYLE PARTIERS,8,RASHEE RICE,2
ITALIAN STYLE PARTIERS,9,DAVID NJOKU,1
ITALIAN STYLE PARTIERS,10,GEORGE KITTLE,3
ITALIAN STYLE PARTIERS,11,MARVIN MIMMS JR,1
ITALIAN STYLE PARTIERS,12,COOPER KUPP,6
ITALIAN STYLE PARTIERS,13,AUSTIN EKELER,1
THE CRUISERS,1,DERRICK HENRY,39
THE CRUISERS,2,BUCKY IRVING,20
THE CRUISERS,3,JOE BURROW,27
THE CRUISERS,4,AJ BROWN,15
THE CRUISERS,5,HOUSTON D,1
THE CRUISERS,6,WILL LUTZ,1
THE CRUISERS,7,DAVID MONTGOMERY,1
THE CRUISERS,8,MARK ANDREWS,1
THE CRUISERS,9,BRANDONAIYUK,1
THE CRUISERS,10,JAYLEN WRIGHT,1
THE CRUISERS,11,CHRIS GODWIN,1
THE CRUISERS,12,JOKOBI MEYERS,1
THE CRUISERS,13,AARON ROGERS,1
WINGER'S RINGERS,1,SAQUON BARKLEY,38
WINGER'S RINGERS,2,JALEN HURTS,19
WINGER'S RINGERS,3,GEORGE PICKENS,11
WINGER'S RINGERS,4,COURTLAND SUTTON,10
WINGER'S RINGERS,5,BRIAN THOMAS JR,18
WINGER'S RINGERS,6,XAVIER WORTHY,5
WINGER'S RINGERS,7,EVAN MACPHERSON,1
WINGER'S RINGERS,8,SEATTLE D,1
WINGER'S RINGERS,9,JORDAN MASON,2
WINGER'S RINGERS,10,DRAKE MAYE,1
WINGER'S RINGERS,11,TANK BIGSBY,1
WINGER'S RINGERS,12,KEON COLEMAN,1
WINGER'S RINGERS,13,TREY BENSON,1
"LEAN, MEAN FIGHTING MACHINE",1,CEEDEE LAMB,37
"LEAN, MEAN FIGHTING MACHINE",2,TUA TAGOVIOLOA,1
"LEAN, MEAN FIGHTING MACHINE",3,DAVON ACHANE,20
"LEAN, MEAN FIGHTING MACHINE",4,KC D,1
"LEAN, MEAN FIGHTING MACHINE",5,TERRY MACLAURIN,20
"LEAN, MEAN FIGHTING MACHINE",6,HARRISON BUTKER,1
